"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00083330","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662270",
"MGYA00100654","3.0","ERS1286207","MGYS00001512","metagenomic",,"ERR1560106",
"MGYA00100652","3.0","ERS1286098","MGYS00001512","metagenomic",,"ERR1560013",
"MGYA00134787","3.0","SRS981309","MGYS00001932","metagenomic",,"SRR2090084",
"MGYA00083186","3.0","ERS1372605","MGYS00001282","metagenomic",,"ERR1664687",
"MGYA00103997","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868038",
"MGYA00103983","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868053",
"MGYA00126461","3.0","SRS086234","MGYS00000355","metagenomic",,"SRR063387",
"MGYA00098225","3.0","ERS510181","MGYS00001464","metagenomic",,"ERR567365",
"MGYA00083360","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662462",
"MGYA00133876","3.0","ERS488589","MGYS00001918","metagenomic",,"ERR594393",
"MGYA00126348","3.0","SRS085684","MGYS00000355","metagenomic",,"SRR062157",
"MGYA00083375","3.0","ERS1372608","MGYS00001282","metagenomic",,"ERR1664710",
"MGYA00133929","3.0","ERS491063","MGYS00001918","metagenomic",,"ERR599364",
"MGYA00104158","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694140",
"MGYA00126438","3.0","SRS085788","MGYS00000355","metagenomic",,"SRR062268",
"MGYA00083159","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662494",
"MGYA00083283","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662271",
"MGYA00104201","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694153",
"MGYA00103999","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868050",
"MGYA00083320","3.0","ERS1372608","MGYS00001282","metagenomic",,"ERR1664707",
"MGYA00102622","3.0","SRS1044006","MGYS00001539","metagenomic",,"SRR2135714",
"MGYA00083265","3.0","ERS1372610","MGYS00001282","metagenomic",,"ERR1664715",
"MGYA00083305","3.0","ERS1372606","MGYS00001282","metagenomic",,"ERR1664693",
"MGYA00133826","3.0","ERS490026","MGYS00001918","metagenomic",,"ERR594385",
