"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00115155","3.0","ERS199042","MGYS00001705","metagenomic",,"ERR209155",
"MGYA00114822","3.0","ERS199049","MGYS00001705","metagenomic",,"ERR209169",
"MGYA00071166","3.0","ERS1324493","MGYS00001208","metagenomic",,"ERR1600433",
"MGYA00115017","3.0","ERS199110","MGYS00001705","metagenomic",,"ERR209366",
"MGYA00128690","3.0","ERS473128","MGYS00001799","metagenomic",,"ERR525793",
"MGYA00095953","3.0","ERS1069651","MGYS00001420","metagenomic",,"ERR1297702",
"MGYA00067584","3.0","ERS1202866","MGYS00001143","metagenomic",,"ERR1474568",
"MGYA00103001","3.0","ERS1138753","MGYS00001556","metagenomic",,"ERR1398253",
"MGYA00114996","3.0","ERS199279","MGYS00001705","metagenomic",,"ERR209688",
"MGYA00114965","3.0","ERS199198","MGYS00001705","metagenomic",,"ERR209563",
"MGYA00102979","3.0","ERS1138888","MGYS00001556","metagenomic",,"ERR1398181",
"MGYA00128645","3.0","ERS473252","MGYS00001799","metagenomic",,"ERR525917",
"MGYA00113515","3.0","ERS199128","MGYS00001705","metagenomic",,"ERR209435",
"MGYA00114411","3.0","ERS199056","MGYS00001705","metagenomic",,"ERR209183",
"MGYA00114925","3.0","ERS199100","MGYS00001705","metagenomic",,"ERR209312",
"MGYA00113963","3.0","ERS199196","MGYS00001705","metagenomic",,"ERR209569",
"MGYA00084486","3.0","ERS1374913","MGYS00001303","metagenomic",,"ERR1681526",
"MGYA00128853","3.0","ERS473180","MGYS00001799","metagenomic",,"ERR525845",
"MGYA00102999","3.0","ERS1138763","MGYS00001556","metagenomic",,"ERR1398118",
"MGYA00114128","3.0","ERS199190","MGYS00001705","metagenomic",,"ERR209549",
"MGYA00114114","3.0","ERS199173","MGYS00001705","metagenomic",,"ERR209522",
"MGYA00114187","3.0","ERS199349","MGYS00001705","metagenomic",,"ERR209821",
"MGYA00114334","3.0","ERS199241","MGYS00001705","metagenomic",,"ERR209626",
"MGYA00114181","3.0","ERS199191","MGYS00001705","metagenomic",,"ERR209554",
"MGYA00102932","3.0","ERS1138805","MGYS00001556","metagenomic",,"ERR1398231",
"MGYA00102968","3.0","ERS1138871","MGYS00001556","metagenomic",,"ERR1398151",
"MGYA00128714","3.0","ERS473059","MGYS00001799","metagenomic",,"ERR525724",
"MGYA00114689","3.0","ERS199097","MGYS00001705","metagenomic",,"ERR209296",
"MGYA00128778","3.0","ERS473289","MGYS00001799","metagenomic",,"ERR525954",
"MGYA00096099","3.0","ERS1069690","MGYS00001420","metagenomic",,"ERR1297850",
"MGYA00114600","3.0","ERS199076","MGYS00001705","metagenomic",,"ERR209224",
"MGYA00102879","3.0","ERS1138845","MGYS00001556","metagenomic",,"ERR1398211",
"MGYA00114937","3.0","ERS199120","MGYS00001705","metagenomic",,"ERR209406",
"MGYA00128785","3.0","ERS473193","MGYS00001799","metagenomic",,"ERR525858",
"MGYA00115058","3.0","ERS199090","MGYS00001705","metagenomic",,"ERR209261",
"MGYA00128836","3.0","ERS473082","MGYS00001799","metagenomic",,"ERR525747",
"MGYA00103044","3.0","ERS1138851","MGYS00001556","metagenomic",,"ERR1398207",
"MGYA00098404","3.0","ERS1510277","MGYS00001481","metagenomic",,"ERR1806507",
"MGYA00128850","3.0","ERS473304","MGYS00001799","metagenomic",,"ERR525969",
"MGYA00113809","3.0","ERS199373","MGYS00001705","metagenomic",,"ERR209857",
"MGYA00113522","3.0","ERS199102","MGYS00001705","metagenomic",,"ERR209323",
"MGYA00097003","3.0","ERS1509317","MGYS00001442","metagenomic",,"ERR1809128",
"MGYA00128749","3.0","ERS473248","MGYS00001799","metagenomic",,"ERR525913",
"MGYA00071244","3.0","ERS1336050","MGYS00001209","metagenomic",,"ERR1611422",
"MGYA00102898","3.0","ERS1138807","MGYS00001556","metagenomic",,"ERR1398234",
"MGYA00128944","3.0","ERS473120","MGYS00001799","metagenomic",,"ERR525785",
"MGYA00114361","3.0","ERS199103","MGYS00001705","metagenomic",,"ERR209330",
"MGYA00114161","3.0","ERS199323","MGYS00001705","metagenomic",,"ERR209767",
"MGYA00113803","3.0","ERS199383","MGYS00001705","metagenomic",,"ERR209877",
"MGYA00102508","3.0","ERS1546032","MGYS00001537","metagenomic",,"ERR1823588",
"MGYA00095853","3.0","ERS1069645","MGYS00001420","metagenomic",,"ERR1297669",
"MGYA00095934","3.0","ERS1069683","MGYS00001420","metagenomic",,"ERR1297803",
"MGYA00113510","3.0","ERS199301","MGYS00001705","metagenomic",,"ERR209726",
"MGYA00113930","3.0","ERS199377","MGYS00001705","metagenomic",,"ERR209861",
"MGYA00114683","3.0","ERS199159","MGYS00001705","metagenomic",,"ERR209494",
"MGYA00102986","3.0","ERS1138840","MGYS00001556","metagenomic",,"ERR1398212",
"MGYA00089078","3.0","ERS1462087","MGYS00001342","metagenomic",,"ERR1744188",
"MGYA00128777","3.0","ERS473202","MGYS00001799","metagenomic",,"ERR525867",
"MGYA00096072","3.0","ERS1069647","MGYS00001420","metagenomic",,"ERR1297733",
"MGYA00067623","3.0","SRS512701","MGYS00001174","metagenomic",,"SRR1045099",
"MGYA00102515","3.0","ERS1546056","MGYS00001537","metagenomic",,"ERR1823612",
"MGYA00114633","3.0","ERS199101","MGYS00001705","metagenomic",,"ERR209315",
"MGYA00071174","3.0","ERS1324500","MGYS00001208","metagenomic",,"ERR1600440",
"MGYA00115117","3.0","ERS199087","MGYS00001705","metagenomic",,"ERR209246",
"MGYA00128895","3.0","ERS473068","MGYS00001799","metagenomic",,"ERR525733",
"MGYA00114346","3.0","ERS199126","MGYS00001705","metagenomic",,"ERR209429",
"MGYA00128934","3.0","ERS473067","MGYS00001799","metagenomic",,"ERR525732",
"MGYA00128998","3.0","ERS473127","MGYS00001799","metagenomic",,"ERR525792",
"MGYA00114273","3.0","ERS199382","MGYS00001705","metagenomic",,"ERR209873",
"MGYA00128655","3.0","ERS473325","MGYS00001799","metagenomic",,"ERR525990",
"MGYA00113987","3.0","ERS199141","MGYS00001705","metagenomic",,"ERR209464",
"MGYA00114324","3.0","ERS199381","MGYS00001705","metagenomic",,"ERR209869",
"MGYA00095825","3.0","ERS1069685","MGYS00001420","metagenomic",,"ERR1297835",
"MGYA00114849","3.0","ERS199216","MGYS00001705","metagenomic",,"ERR209590",
"MGYA00095801","3.0","ERS1069686","MGYS00001420","metagenomic",,"ERR1297847",
"MGYA00115139","3.0","ERS199100","MGYS00001705","metagenomic",,"ERR209314",
"MGYA00114262","3.0","ERS199095","MGYS00001705","metagenomic",,"ERR209288",
"MGYA00113540","3.0","ERS199382","MGYS00001705","metagenomic",,"ERR209874",
"MGYA00113991","3.0","ERS199074","MGYS00001705","metagenomic",,"ERR209219",
"MGYA00102913","3.0","ERS1138822","MGYS00001556","metagenomic",,"ERR1398210",
"MGYA00096168","3.0","ERS1069676","MGYS00001420","metagenomic",,"ERR1297657",
"MGYA00071239","3.0","ERS1336012","MGYS00001209","metagenomic",,"ERR1611384",
"MGYA00102935","3.0","ERS1138841","MGYS00001556","metagenomic",,"ERR1398232",
"MGYA00113933","3.0","ERS199048","MGYS00001705","metagenomic",,"ERR209167",
"MGYA00114819","3.0","ERS199205","MGYS00001705","metagenomic",,"ERR209576",
"MGYA00128980","3.0","ERS473267","MGYS00001799","metagenomic",,"ERR525932",
"MGYA00113859","3.0","ERS199242","MGYS00001705","metagenomic",,"ERR209631",
"MGYA00128820","3.0","ERS473308","MGYS00001799","metagenomic",,"ERR525973",
"MGYA00113586","3.0","ERS199238","MGYS00001705","metagenomic",,"ERR209622",
"MGYA00128939","3.0","ERS473317","MGYS00001799","metagenomic",,"ERR525982",
"MGYA00128932","3.0","ERS473043","MGYS00001799","metagenomic",,"ERR525708",
"MGYA00102959","3.0","ERS1138744","MGYS00001556","metagenomic",,"ERR1398075",
"MGYA00113953","3.0","ERS199111","MGYS00001705","metagenomic",,"ERR209369",
"MGYA00114787","3.0","ERS199051","MGYS00001705","metagenomic",,"ERR209172",
"MGYA00102933","3.0","ERS1138842","MGYS00001556","metagenomic",,"ERR1398251",
"MGYA00114009","3.0","ERS199085","MGYS00001705","metagenomic",,"ERR209243",
"MGYA00096212","3.0","ERS1069655","MGYS00001420","metagenomic",,"ERR1297742",
"MGYA00128649","3.0","ERS473243","MGYS00001799","metagenomic",,"ERR525908",
"MGYA00071169","3.0","ERS1324487","MGYS00001208","metagenomic",,"ERR1600427",
